SimulationTime,CW
0.01,325
0.02,96
0.03,383
0.04,427
0.05,274
0.06,407
0.07,413
0.08,505
0.09,362
0.1,462
0.11,291
0.12,276
0.13,306
0.14,106
0.15,131
0.16,155
0.17,375
0.18,521
0.19,337
0.2,283
0.21,325
0.22,276
0.23,311
0.24,380
0.25,286
0.26,302
0.27,240
0.28,118
0.29,109
0.3,154
0.31,345
0.32,295
0.33,530
0.34,336
0.35,479
0.36,310
0.37,409
0.38,350
0.39,264
0.4,323
0.41,418
0.42,244
0.43,215
0.44,355
0.45,217
0.46,217
0.47,296
0.48,491
0.49,299
0.5,337
0.51,476
0.52,335
0.53,293
0.54,465
0.55,289
0.56,338
0.57,360
0.58,364
0.59,340
0.6,348
0.61,323
0.62,360
0.63,457
0.64,313
0.65,250
0.66,407
0.67,375
0.68,332
0.69,351
0.7,282
0.71,569
0.72,278
0.73,182
0.74,255
0.75,355
0.76,421
0.77,428
0.78,357
0.79,355
0.8,335
0.81,343
0.82,274
0.83,378
0.84,352
0.85,303
0.86,416
0.87,453
0.88,353
0.89,422
0.9,377
0.91,377
0.92,377
0.93,353
0.94,375
0.95,404
0.96,291
0.97,184
0.98,290
0.99,401
1,354
1.01,466
1.02,264
1.03,258
1.04,391
1.05,453
1.06,512
1.07,336
1.08,441
1.09,565
1.1,406
1.11,277
1.12,303
1.13,449
1.14,259
1.15,320
1.16,356
1.17,274
1.18,456
1.19,332
1.2,328
1.21,247
1.22,310
1.23,300
1.24,438
1.25,304
1.26,374
1.27,317
1.28,375
1.29,290
1.3,470
1.31,433
1.32,552
1.33,274
1.34,472
1.35,269
1.36,398
1.37,297
1.38,339
1.39,368
1.4,521
1.41,365
1.42,325
1.43,370
1.44,260
1.45,387
1.46,363
1.47,408
1.48,287
1.49,346
1.5,212
1.51,321
1.52,359
1.53,375
1.54,296
1.55,447
1.56,210
1.57,366
1.58,273
1.59,361
1.6,256
1.61,306
1.62,289
1.63,381
1.64,432
1.65,452
1.66,474
1.67,225
1.68,296
1.69,473
1.7,452
1.71,313
1.72,351
1.73,186
1.74,330
1.75,311
1.76,386
1.77,420
1.78,402
1.79,326
1.8,550
1.81,365
1.82,262
1.83,448
1.84,235
1.85,288
1.86,396
1.87,618
1.88,514
1.89,364
1.9,400
1.91,249
1.92,390
1.93,376
1.94,234
1.95,324
1.96,376
1.97,328
1.98,318
1.99,416
2,313
2.01,458
2.02,363
2.03,417
2.04,241
2.05,335
2.06,301
2.07,339
2.08,529
2.09,231
2.1,331
2.11,439
2.12,374
2.13,415
2.14,349
2.15,355
2.16,499
2.17,327
2.18,359
2.19,459
2.2,429
2.21,318
2.22,343
2.23,305
2.24,232
2.25,310
2.26,361
2.27,288
2.28,311
2.29,382
2.3,335
2.31,526
2.32,365
2.33,230
2.34,256
2.35,380
2.36,320
2.37,203
2.38,374
2.39,440
2.4,357
2.41,399
2.42,314
2.43,305
2.44,418
2.45,401
2.46,302
2.47,278
2.48,629
2.49,272
2.5,402
2.51,336
2.52,395
2.53,317
2.54,375
2.55,293
2.56,330
2.57,291
2.58,348
2.59,349
2.6,230
2.61,408
2.62,516
2.63,257
2.64,321
2.65,313
2.66,277
2.67,496
2.68,317
2.69,292
2.7,294
2.71,469
2.72,313
2.73,362
2.74,331
2.75,248
2.76,317
2.77,345
2.78,331
2.79,213
2.8,246
2.81,354
2.82,279
2.83,262
2.84,432
2.85,361
2.86,332
2.87,358
2.88,299
2.89,174
2.9,275
2.91,369
2.92,274
2.93,283
2.94,307
2.95,322
2.96,329
2.97,284
2.98,416
2.99,333
3,385
3.01,355
3.02,284
3.03,370
3.04,336
3.05,413
3.06,362
3.07,345
3.08,325
3.09,332
3.1,278
3.11,442
3.12,411
3.13,389
3.14,347
3.15,274
3.16,330
3.17,279
3.18,473
3.19,374
3.2,233
3.21,399
3.22,554
3.23,303
3.24,466
3.25,447
3.26,297
3.27,303
3.28,294
3.29,463
3.3,395
3.31,314
3.32,349
3.33,449
3.34,306
3.35,404
3.36,247
3.37,268
3.38,426
3.39,346
3.4,397
3.41,448
3.42,383
3.43,357
3.44,326
3.45,151
3.46,343
3.47,332
3.48,468
3.49,309
3.5,378
3.51,353
3.52,420
3.53,309
3.54,254
3.55,472
3.56,297
3.57,388
3.58,314
3.59,349
3.6,282
3.61,298
3.62,487
3.63,408
3.64,324
3.65,308
3.66,312
3.67,296
3.68,239
3.69,318
3.7,504
3.71,471
3.72,284
3.73,317
3.74,420
3.75,526
3.76,311
3.77,370
3.78,288
3.79,242
3.8,320
3.81,322
3.82,223
3.83,436
3.84,430
3.85,274
3.86,393
3.87,300
3.88,329
3.89,520
3.9,352
3.91,314
3.92,273
3.93,403
3.94,311
3.95,305
3.96,350
3.97,332
3.98,297
3.99,331
4,353
4.01,492
4.02,278
4.03,261
4.04,332
4.05,310
4.06,444
4.07,271
4.08,384
4.09,360
4.1,284
4.11,341
4.12,273
4.13,312
4.14,331
4.15,319
4.16,446
4.17,279
4.18,282
4.19,304
4.2,484
4.21,300
4.22,407
4.23,382
4.24,298
4.25,383
4.26,358
4.27,344
4.28,231
4.29,257
4.3,371
4.31,475
4.32,329
4.33,342
4.34,326
4.35,307
4.36,356
4.37,392
4.38,265
4.39,531
4.4,300
4.41,331
4.42,361
4.43,310
4.44,284
4.45,362
4.46,219
4.47,387
4.48,211
4.49,416
4.5,327
4.51,428
4.52,296
4.53,350
4.54,264
4.55,292
4.56,325
4.57,274
4.58,352
4.59,434
4.6,301
4.61,573
4.62,357
4.63,271
4.64,264
4.65,435
4.66,463
4.67,314
4.68,425
4.69,400
4.7,419
4.71,268
4.72,297
4.73,638
4.74,388
4.75,288
4.76,443
4.77,364
4.78,582
4.79,322
4.8,310
4.81,441
4.82,328
4.83,520
4.84,510
4.85,424
4.86,411
4.87,470
4.88,394
4.89,390
4.9,307
4.91,271
4.92,391
4.93,268
4.94,385
4.95,307
4.96,329
4.97,336
4.98,322
4.99,441
5,291
5.01,337
5.02,381
5.03,429
5.04,382
5.05,319
5.06,471
5.07,434
5.08,342
5.09,376
5.1,238
5.11,408
5.12,252
5.13,299
5.14,385
5.15,457
5.16,446
5.17,287
5.18,371
5.19,366
5.2,176
5.21,389
5.22,382
5.23,268
5.24,444
5.25,316
5.26,278
5.27,308
5.28,471
5.29,327
5.3,348
5.31,217
5.32,486
5.33,279
5.34,367
5.35,384
5.36,368
5.37,369
5.38,327
5.39,391
5.4,344
5.41,499
5.42,408
5.43,303
5.44,269
5.45,300
5.46,378
5.47,399
5.48,315
5.49,390
5.5,360
5.51,309
5.52,334
5.53,544
5.54,273
5.55,387
5.56,384
5.57,288
5.58,359
5.59,228
5.6,359
5.61,249
5.62,507
5.63,398
5.64,314
5.65,319
5.66,312
5.67,363
5.68,393
5.69,315
5.7,398
5.71,415
5.72,377
5.73,327
5.74,281
5.75,358
5.76,341
5.77,389
5.78,308
5.79,383
5.8,402
5.81,350
5.82,350
5.83,334
5.84,197
5.85,337
5.86,322
5.87,260
5.88,250
5.89,329
5.9,328
5.91,383
5.92,348
5.93,433
5.94,379
5.95,273
5.96,372
5.97,344
5.98,525
5.99,341
6,356
6.01,309
6.02,261
6.03,305
6.04,363
6.05,576
6.06,328
6.07,300
6.08,427
6.09,254
6.1,327
6.11,363
6.12,350
6.13,451
6.14,435
6.15,425
6.16,289
6.17,538
6.18,334
6.19,381
6.2,253
6.21,433
6.22,330
6.23,307
6.24,256
6.25,219
6.26,256
6.27,313
6.28,349
6.29,352
6.3,362
6.31,511
6.32,283
6.33,436
6.34,377
6.35,284
6.36,400
6.37,240
6.38,368
6.39,305
6.4,451
6.41,332
6.42,295
6.43,221
6.44,480
6.45,325
6.46,400
6.47,391
6.48,383
6.49,356
6.5,440
6.51,364
6.52,288
6.53,317
6.54,347
6.55,379
6.56,284
6.57,369
6.58,374
6.59,336
6.6,434
6.61,400
6.62,201
6.63,297
6.64,313
6.65,331
6.66,360
6.67,383
6.68,270
6.69,273
6.7,429
6.71,396
6.72,298
6.73,310
6.74,324
6.75,363
6.76,377
6.77,389
6.78,355
6.79,348
6.8,342
6.81,346
6.82,486
6.83,352
6.84,381
6.85,354
6.86,399
6.87,351
6.88,222
6.89,372
6.9,322
6.91,352
6.92,467
6.93,495
6.94,317
6.95,376
6.96,299
6.97,387
6.98,446
6.99,467
7,306
7.01,249
7.02,342
7.03,406
7.04,351
7.05,416
7.06,309
7.07,419
7.08,339
7.09,612
7.1,279
7.11,220
7.12,406
7.13,262
7.14,478
7.15,378
7.16,361
7.17,266
7.18,425
7.19,402
7.2,266
7.21,425
7.22,340
7.23,321
7.24,304
7.25,403
7.26,377
7.27,441
7.28,316
7.29,331
7.3,381
7.31,494
7.32,407
7.33,494
7.34,450
7.35,257
7.36,306
7.37,325
7.38,315
7.39,483
7.4,265
7.41,289
7.42,461
7.43,407
7.44,322
7.45,382
7.46,394
7.47,268
7.48,264
7.49,430
7.5,548
7.51,404
7.52,288
7.53,373
7.54,324
7.55,447
7.56,292
7.57,305
7.58,401
7.59,330
7.6,359
7.61,508
7.62,366
7.63,401
7.64,473
7.65,328
7.66,401
7.67,286
7.68,395
7.69,329
7.7,510
7.71,333
7.72,377
7.73,429
7.74,412
7.75,356
7.76,259
7.77,313
7.78,321
7.79,302
7.8,242
7.81,458
7.82,393
7.83,401
7.84,342
7.85,251
7.86,325
7.87,458
7.88,454
7.89,319
7.9,328
7.91,284
7.92,268
7.93,288
7.94,354
7.95,450
7.96,339
7.97,356
7.98,319
7.99,368
8,358
8.01,322
8.02,400
8.03,294
8.04,397
8.05,312
8.06,249
8.07,420
8.08,429
8.09,254
8.1,662
8.11,345
8.12,311
8.13,372
8.14,493
8.15,406
8.16,349
8.17,293
8.18,335
8.19,276
8.2,377
8.21,205
8.22,333
8.23,432
8.24,334
8.25,455
8.26,254
8.27,376
8.28,355
8.29,375
8.3,265
8.31,390
8.32,271
8.33,451
8.34,263
8.35,553
8.36,339
8.37,233
8.38,381
8.39,380
8.4,383
8.41,427
8.42,339
8.43,270
8.44,353
8.45,333
8.46,350
8.47,298
8.48,464
8.49,289
8.5,381
8.51,345
8.52,306
8.53,345
8.54,342
8.55,197
8.56,319
8.57,480
8.58,280
8.59,306
8.6,260
8.61,503
8.62,371
8.63,378
8.64,314
8.65,427
8.66,612
8.67,350
8.68,419
8.69,331
8.7,608
8.71,380
8.72,305
8.73,377
8.74,363
8.75,617
8.76,205
8.77,338
8.78,494
8.79,330
8.8,282
8.81,388
8.82,287
8.83,373
8.84,313
8.85,359
8.86,289
8.87,312
8.88,313
8.89,331
8.9,250
8.91,398
8.92,442
8.93,437
8.94,267
8.95,504
8.96,406
8.97,272
8.98,308
8.99,333
9,321
9.01,375
9.02,352
9.03,266
9.04,328
9.05,431
9.06,415
9.07,235
9.08,322
9.09,371
9.1,378
9.11,304
9.12,364
9.13,339
9.14,498
9.15,352
9.16,426
9.17,403
9.18,376
9.19,381
9.2,357
9.21,331
9.22,311
9.23,476
9.24,507
9.25,330
9.26,394
9.27,363
9.28,413
9.29,310
9.3,385
9.31,554
9.32,367
9.33,431
9.34,250
9.35,279
9.36,351
9.37,450
9.38,422
9.39,411
9.4,270
9.41,398
9.42,353
9.43,302
9.44,600
9.45,359
9.46,335
9.47,398
9.48,502
9.49,413
9.5,310
9.51,332
9.52,335
9.53,509
9.54,379
9.55,390
9.56,289
9.57,585
9.58,516
9.59,250
9.6,320
9.61,323
9.62,407
9.63,613
9.64,456
9.65,353
9.66,307
9.67,371
9.68,347
9.69,521
9.7,387
9.71,488
9.72,328
9.73,391
9.74,347
9.75,293
9.76,437
9.77,284
9.78,454
9.79,351
9.8,349
9.81,246
9.82,398
9.83,365
9.84,419
9.85,484
9.86,297
9.87,353
9.88,287
9.89,308
9.9,310
9.91,383
9.92,291
9.93,380
